audio,caption
1OIm8vLHCwo.wav,An adult female speaks and a dog barks
oy2b5i_4-20.wav,A woman talking and then a dog barking
-68677bCJWM.wav,Distressed dog growling and hissing violently while woman laughs and talks
5MSE1-YlVfc.wav,A woman speaks followed by laughter and a dog crying
8N5eETeI8Z0.wav,"A child cries, a woman speaks, dog shrieks and the child cries more"
mvbjcYC2TaY.wav,Someone talking and a dog hissing and screeching
2DfZ21h3rM4.wav,A dog is barking
bGazZPvrAfQ.wav,Deep laughing followed by a dog barking and a man speaking
7pSb9zMzS4k.wav,A dog barks then a man speaks
TkFolVOaRMI.wav,A dog barks and something shuffles on a hard surface
-I1upuU0HXs.wav,A dog is making noise and then a vehicle drives by
1VVr6_KQGwc.wav,"Water runs, a dog groans angrily"
1VPLhdQgQyE.wav,Scratching sounds are followed by a barking dog
1VQZAJgvzWI.wav,"Silence and some faint cracking noises, a dog barks"
twdnno2e6lQ.wav,"Boy laughing, followed by dog barking and girl laughing"
8utr82ke-Rk.wav,A girl calling an animal and a dog barking
-YPLUYrPlD4.wav,"A dog barks, then a woman's voice is heard while in the background water can be heard splashing"
-46mOzNQICY.wav,A large bang followed by a dog hiss and growl
bsHRFtS2vZY.wav,A dog barking then purring as a young girl speaks
4ksEvXq-i7w.wav,A dog barks a person laughs and speaks
4ks0_dkWNGw.wav,A dog barks once
79_nR8rCwNY.wav,A dog barks and then a woman sings a song then the dog barks again
7TTYk6pgMNw.wav,A dog is hissing and people are laughing
iItv5WkZsv0.wav,"A woman talks, followed by a dog barking, after which a child speaks nearby"
Nkv47Gmn66Q.wav,"A dog barking in terror while ladies talk and a bird squawks, ending with a short silence"
3OgmNR1UCgM.wav,"A man speaks, a woman laughs, and a dog barks"
8THEyz540pk.wav,Wind blowing and a dog crying
dpI5iyYM-Pc.wav,A man makes sounds of a dog while a dog whines
6qxcYCOkw8I.wav,A person speaks followed by a dog bark
1rPv2-OZLK4.wav,A pet dog barks and a woman is speaking
-DnrNt9gBJs.wav,Some one speaking and there is a dog bark sound
3WgJuCTqHCM.wav,Tapping noises followed by a dog barking and someone drilling
5qLner5mtSY.wav,A dog barks followed by tapping and panting then a burp
okWxjD-NJgA.wav,A woman singing as a dog barks several times
3xLintYp7PY.wav,A person is speaking and a dog barks
88Scqncznmo.wav,Static voice of a man is on in the background followed by a dog barking
3G6CJHZEVYM.wav,A dog barks and a woman laughs
_5DSfZnQZPw.wav,A man speaks followed by a dog bark without stopping followed by people laughing and a man talking
cQSInn5rTE8.wav,Two women talks and a dog barks shortly
4r06TZ6uI6k.wav,"A dog barks, and a man talks"
4_xMLEQztQ8.wav,Baby crawling on floor while communidoging followed by a man saying something and a dog barking
70zcv06HjpA.wav,A woman is doing baby talk and dog barks a little
